result_type,data_scope,method,W,latent_dim,compression_ratio_mean,cr_int8_estimated,encode_ms_mean,decode_ms_mean,mae_mean,rmse_mean,worst_abs_error,model_size_kb,safe_pass,safety_rejected_reason,notes
learned_compression,eps_only,fc_ae,16,8,26.0,104.0,0.31675,0.37410667,1.56883645,3.33489561,35.26383591,760.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,16,8,26.0,104.0,0.33877,0.36419333,1.56104529,3.38759041,35.86740875,760.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,16,8,26.0,104.0,0.37311667,0.359,1.5993489,3.45417976,35.35660934,760.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,16,16,13.0,52.0,0.31867,0.34657333,1.71758974,3.83413458,38.37166214,768.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,16,16,13.0,52.0,0.32528667,0.36505,1.62142992,3.58978724,42.86249161,768.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,16,16,13.0,52.0,0.40442667,0.6212,1.53747964,3.34269667,36.27842712,768.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,16,32,6.5,26.0,0.36736,0.36519333,1.56236362,3.32918501,38.89960098,784.689,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,16,32,6.5,26.0,0.36504333,0.45282333,1.48680007,3.23506308,30.77524376,784.689,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,16,32,6.5,26.0,0.39336,0.43488667,1.48358858,3.15246058,31.23492241,784.689,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,16,4,52.0,208.0,0.36417667,0.38989333,1.69853246,3.66550851,34.50992584,756.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,16,4,52.0,208.0,0.39543667,0.34215,1.60304964,3.42776132,35.14479828,756.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,16,4,52.0,208.0,0.34219333,0.32130667,1.59514272,3.40667772,34.45800018,756.627,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
